187	5
155	4
190	4
190	2
180	4
137	5
180	4
125	5
116	5
110	5
264	4
123	5
185	5
180	3
145	5
170	3
135	5
165	2
175	2
195	3
185	4
185	3
105	4
125	4
160	3
175	5
180	3
167	5
115	3
205	5
128	3
150	5
150	5
150	5
170	3
150	4
175	5
140	3
120	5
135	5
100	4
170	5
113	5
168	4
145	5
155	5
150	3
169	4
185	5
200	5
265	4
165	5
192	4
175	5
140	4
155	5
155	5
135	5
118	3
210	4
180	5
140	5
112	3
125	5
145	5
130	3
140	5
140	5
140	5
200	3
120	5
150	4
200	3
135	5
145	5
130	3
190	4
170	3
127	4
167	5
140	5
190	5
155	4
175	4
129	5
260	5
135	2
190	1
165	4
175	5
184	4
210	3
155	5
185	5
165	5
125	5
160	5
135	5
130	5
230	4
125	3
130	5
165	4
128	5
200	4
160	3
170	3
129	5
170	4
138	4
150	5
170	5
113	3
140	5
185	5
156	5
180	4
120	4
135	5
135	3
