1	187
2	155
2	190
2	190
1	180
2	137
1	180
1	125
2	116
1	110
2	264
2	123
2	185
1	145
2	170
1	135
2	165
2	175
1	185
1	185
2	105
1	125
1	160
2	175
1	180
2	167
1	115
2	205
1	128
1	150
1	150
2	150
2	170
1	150
2	175
2	140
1	120
2	135
1	100
1	170
1	113
2	168
1	145
2	155
1	150
1	169
1	185
1	200
2	265
1	165
2	192
1	175
1	140
2	155
2	155
2	135
1	210
1	140
1	112
2	125
2	145
2	130
1	140
1	140
2	140
1	120
2	150
2	200
1	135
2	145
2	130
2	190
2	170
1	127
2	167
2	140
2	190
2	155
2	175
1	129
2	260
2	135
2	190
2	165
2	175
2	184
2	210
2	155
2	185
1	165
1	125
2	160
1	130
2	125
1	130
1	165
2	128
2	200
1	160
2	170
1	129
2	170
2	138
2	150
1	170
1	113
1	140
1	185
2	156
1	180
1	120
2	135
1	135
